縣市,選區,號次,政黨,候選人,得票數,當選註記,得票率,性別
臺北市,01,1,民主進步黨,謝維洲,21687,*,7.09,男
臺北市,01,2,無,賴素如,7226," ",2.36,女
臺北市,01,3,無,孫士堅,1406," ",0.46,男
臺北市,01,4,新黨,潘懷宗,25188,*,8.24,男
臺北市,01,5,無,林瑞圖,20065,*,6.56,男
臺北市,01,6,人民民主陣線,周佳君,1685," ",0.55,女
臺北市,01,7,無,王奕凱,8551," ",2.8,男
臺北市,01,8,無,王英文,517," ",0.17,男
臺北市,01,9,中國國民黨,陳重文,13299,*,4.35,男
臺北市,01,10,中國國民黨,黃平洋,11451," ",3.75,男
臺北市,01,11,親民黨,王小玉,2214," ",0.72,女
臺北市,01,12,新黨,楊靜宇,10538," ",3.45,男
臺北市,01,13,中國國民黨,汪志冰,18021,*,5.89,女
臺北市,01,14,民主進步黨,林世宗,12334,*,4.03,男
臺北市,01,15,民主進步黨,王威中,20649,*,6.75,男
臺北市,01,16,民主進步黨,吳思瑤,20302,*,6.64,女
臺北市,01,17,台灣團結聯盟,陳建銘,20952,*,6.85,男
臺北市,01,18,民主進步黨,何志偉,26283,*,8.6,男
臺北市,01,19,無,陳政忠,16623,*,5.44,男
臺北市,01,20,民主進步黨,陳慈慧,22688,*,7.42,女
臺北市,01,21,中國國民黨,吳碧珠,24030,*,7.86,女
臺北市,02,1,無,許明偉,497," ",0.23,男
臺北市,02,2,中國國民黨,陳義洲,17693,*,8.08,男
臺北市,02,3,新黨,趙家蓉,9910," ",4.53,女
臺北市,02,4,中國國民黨,黃子哲,9380," ",4.29,男
臺北市,02,5,親民黨,黃珊珊,28020,*,12.8,女
臺北市,02,6,民主進步黨,王孝維,17401,*,7.95,男
臺北市,02,7,中國國民黨,李彥秀,25057,*,11.45,女
臺北市,02,8,台灣團結聯盟,陳嘉霖,2466," ",1.13,男
臺北市,02,9,樹黨,余筱菁,3527," ",1.61,女
臺北市,02,10,中國國民黨,闕枚莎,19956,*,9.12,女
臺北市,02,11,民主進步黨,江志銘,14592,*,6.67,男
臺北市,02,12,中國國民黨,吳世正,18223,*,8.33,男
臺北市,02,13,民主進步黨,李建昌,18052,*,8.25,男
臺北市,02,14,民主進步黨,高嘉瑜,34117,*,15.59,女
臺北市,03,1,中國國民黨,陳永德,13825,*,5.74,男
臺北市,03,2,中國國民黨,秦慧珠,20632,*,8.57,女
臺北市,03,3,新黨,楊世光,11639," ",4.84,男
臺北市,03,4,民主進步黨,許家蓓,21444,*,8.91,女
臺北市,03,5,無,王博玉,380," ",0.16,男
臺北市,03,6,中國國民黨,戴錫欽,13862,*,5.76,男
臺北市,03,7,中國國民黨,陳孋輝,14307,*,5.94,女
臺北市,03,8,親民黨,洪士奇,10679," ",4.44,男
臺北市,03,9,樹黨,潘翰疆,4387," ",1.82,男
臺北市,03,10,民主進步黨,許淑華,27332,*,11.36,女
臺北市,03,11,台灣團結聯盟,李卓翰,3484," ",1.45,男
臺北市,03,12,中國國民黨,王鴻薇,18472,*,7.68,女
臺北市,03,13,民主進步黨,洪健益,20319,*,8.44,男
臺北市,03,14,中國國民黨,楊實秋,9297," ",3.86,男
臺北市,03,15,民主進步黨,張茂楠,21329,*,8.86,男
臺北市,03,16,無,徐世勲,19037,*,7.91,男
臺北市,03,17,中國國民黨,王正德,10247," ",4.26,男
臺北市,04,1,中國國民黨,陳炳甫,19808,*,10.02,男
臺北市,04,2,人民民主陣線,鍾君竺,1957," ",0.99,女
臺北市,04,3,民主進步黨,黃向羣,16248,*,8.22,男
臺北市,04,4,新黨,林婕麗,5856," ",2.96,女
臺北市,04,5,民主進步黨,梁文傑,26155,*,13.23,男
臺北市,04,6,民主進步黨,顏若芳,26079,*,13.19,女
臺北市,04,7,中國國民黨,葉林傳,21531,*,10.89,男
臺北市,04,8,民主進步黨,王世堅,25102,*,12.7,男
臺北市,04,9,親民黨,林國成,13125,*,6.64,男
臺北市,04,10,中國國民黨,王麗珠,12717," ",6.43,女
臺北市,04,11,台灣團結聯盟,簡聖哲,6961," ",3.52,男
臺北市,04,12,樹黨,鄭惠齡,4401," ",2.23,女
臺北市,04,13,中國國民黨,林亭君,17103,*,8.65,女
臺北市,04,14,無,楊鎮雄,629," ",0.32,男
臺北市,05,1,無,徐立信,9057," ",4.65,男
臺北市,05,2,華聲黨,黄文章,207," ",0.11,男
臺北市,05,3,無,康明道,342," ",0.18,男
臺北市,05,4,中國國民黨,吳志剛,21444,*,11.02,男
臺北市,05,5,台灣團結聯盟,謝建平,4149," ",2.13,男
臺北市,05,6,民主進步黨,童仲彥,19546,*,10.04,男
臺北市,05,7,民主進步黨,周威佑,20663,*,10.62,男
臺北市,05,8,民主進步黨,劉耀仁,17303,*,8.89,男
臺北市,05,9,中國國民黨,應曉薇,21092,*,10.84,女
臺北市,05,10,樹黨,林佳諭,9965," ",5.12,女
臺北市,05,11,中國國民黨,郭昭巖,21782,*,11.19,女
臺北市,05,12,中國國民黨,鍾小平,14987,*,7.7,男
臺北市,05,13,民主進步黨,顏聖冠,23499,*,12.07,女
臺北市,05,14,親民黨,陳蓋武,2887," ",1.48,男
臺北市,05,15,新黨,張榮法,7696," ",3.95,男
臺北市,06,1,新黨,陳彥伯,15302,*,4.97,男
臺北市,06,2,無,孫仲康,772," ",0.25,男
臺北市,06,3,中國國民黨,厲耿桂芳,15712,*,5.1,女
臺北市,06,4,中國國民黨,王欣儀,17595,*,5.71,女
臺北市,06,5,中國國民黨,陳錦祥,17165,*,5.57,男
臺北市,06,6,無,丁增義,535," ",0.17,男
臺北市,06,7,樹黨,潘翰聲,8623," ",2.8,男
臺北市,06,8,中國國民黨,歐陽龍,27123,*,8.8,男
臺北市,06,9,民主進步黨,王閔生,22993,*,7.46,男
臺北市,06,10,無,青天,541," ",0.18,男
臺北市,06,11,親民黨,何啟聖,8664," ",2.81,男
臺北市,06,12,中國國民黨,王致雅,14115," ",4.58,女
臺北市,06,13,中國國民黨,徐弘庭,15651,*,5.08,男
臺北市,06,14,無,聶紹雄,395," ",0.13,男
臺北市,06,15,民主進步黨,周柏雅,17249,*,5.6,男
臺北市,06,16,民主進步黨,李慶鋒,20274,*,6.58,男
臺北市,06,17,民主進步黨,阮昭雄,20727,*,6.73,男
臺北市,06,18,中國國民黨,李新,22773,*,7.39,男
臺北市,06,19,無,謝啟大,9665," ",3.14,女
臺北市,06,20,台灣團結聯盟,歐陽瑞蓮,5279," ",1.71,女
臺北市,06,21,民主進步黨,簡舒培,22672,*,7.36,女
臺北市,06,22,中國國民黨,李慶元,24348,*,7.9,男
新北市,01,1,中國國民黨,鄭戴麗香,18779,*,17.21,女
新北市,01,2,綠黨,王鐘銘,6880," ",6.31,男
新北市,01,3,民主進步黨,鄭宇恩,31928,*,29.27,女
新北市,01,4,無,蔡錦賢,20167,*,18.49,男
新北市,01,5,中國國民黨,蔡葉偉,16421,*,15.05,男
新北市,01,6,民主進步黨,呂子昌,14919," ",13.68,男
新北市,02,1,中國國民黨,蔡健棠,20218," ",6.62,男
新北市,02,2,中國國民黨,宋明宗,24326,*,7.97,男
新北市,02,3,中國國民黨,陳明義,20466," ",6.7,男
新北市,02,4,民主進步黨,何淑峯,24987,*,8.18,女
新北市,02,5,民主進步黨,賴秋媚,21927,*,7.18,女
新北市,02,6,無,董吉誠,1521," ",0.5,男
新北市,02,7,民主進步黨,鍾宏仁,40858,*,13.38,男
新北市,02,8,台灣團結聯盟,張晉婷,26625,*,8.72,女
新北市,02,9,中國國民黨,黃林玲玲,25082,*,8.21,女
新北市,02,10,中國國民黨,蔣根煌,22188,*,7.27,男
新北市,02,11,民主進步黨,陳文治,20481,*,6.71,男
新北市,02,12,民主進步黨,陳科名,27269,*,8.93,男
新北市,02,13,中國國民黨,蔡淑君,29373,*,9.62,女
新北市,03,1,民主進步黨,李倩萍,28652,*,9.83,女
新北市,03,2,人民最大黨,蕭榮騰,614," ",0.21,男
新北市,03,3,民主進步黨,鄭金隆,20694,*,7.1,男
新北市,03,4,親民黨,王詠沛,4337," ",1.49,女
新北市,03,5,中國國民黨,黃桂蘭,19111," ",6.56,女
新北市,03,6,新黨,張宸浩,2599," ",0.89,男
新北市,03,7,無,董俊良,556," ",0.19,男
新北市,03,8,中國國民黨,胡淑蓉,15708," ",5.39,女
新北市,03,9,中國國民黨,蔡明堂,25538,*,8.76,男
新北市,03,10,無,李翁月娥,20340,*,6.98,女
新北市,03,11,人民民主陣線,李丹鳳,2603," ",0.89,女
新北市,03,12,中國國民黨,鄭世維,14520," ",4.98,男
新北市,03,13,中國國民黨,陳幸進,20819,*,7.14,男
新北市,03,14,無,蘇卿彥,312," ",0.11,男
新北市,03,15,民主進步黨,李坤城,26809,*,9.2,男
新北市,03,16,民主進步黨,李余典,26794,*,9.19,男
新北市,03,17,民主進步黨,邱婷蔚,32511,*,11.16,女
新北市,03,18,民主進步黨,陳啟能,24841,*,8.52,男
新北市,03,19,台灣團結聯盟,陳良安,4076," ",1.4,男
新北市,04,1,中國國民黨,曾煥嘉,21807,*,7.96,男
新北市,04,2,中國國民黨,周勝考,25921,*,9.47,男
新北市,04,3,無,廖裕德,19739,*,7.21,男
新北市,04,4,無,顏德民,1745," ",0.64,男
新北市,04,5,民主進步黨,王淑慧,21866,*,7.98,女
新北市,04,6,民主進步黨,黃俊哲,21625,*,7.9,男
新北市,04,7,民主進步黨,林水山,14115," ",5.15,男
新北市,04,8,民主進步黨,何博文,35304,*,12.89,男
新北市,04,9,親民黨,林世棟,3385," ",1.24,男
