地區,姓名,號次,性別,出生年次,推薦政黨,得票數,得票率,當選否,是否現任,year
臺北市,趙少康,02,M,1949,新黨,424905,30.17%,N,N,1994
臺北市,陳水扁,03,M,1951,民主進步黨,615090,43.67%,Y,N,1994
臺北市,黃大洲,04,M,1936,中國國民黨,364618,25.89%,N,Y,1994
高雄市,吳敦義,01,M,1948,中國國民黨,400766,54.46%,Y,Y,1994
高雄市,施鐘響,02,M,1937,無黨籍及未經政黨推薦,13084,1.78%,N,N,1994
高雄市,張俊雄,03,M,1937,民主進步黨,289110,39.29%,N,N,1994
高雄市,鄭德耀,04,M,1951,無黨籍及未經政黨推薦,7513,1.02%,N,N,1994
高雄市,湯阿根,05,M,1936,新黨,25413,3.45%,N,N,1994
臺北市,馬英九,01,M,1950,中國國民黨,766377,51.13%,Y,N,1998
臺北市,陳水扁,02,M,1952,民主進步黨,688072,45.91%,N,Y,1998
臺北市,王建火宣,03,M,1938,新黨,44452,2.97%,N,N,1998
高雄市,吳建國,01,M,1950,新黨,6457,0.81%,N,N,1998
高雄市,鄭德耀,02,M,1951,無黨籍及未經政黨推薦,18699,2.35%,N,N,1998
高雄市,謝長廷,03,M,1946,民主進步黨,387797,48.71%,Y,N,1998
高雄市,吳敦義,04,M,1948,中國國民黨,383232,48.13%,N,Y,1998
臺北市,李應元,01,M,1952,民主進步黨,488811,35.89%,N,N,2002
臺北市,馬英九,02,M,1950,中國國民黨,873102,64.11%,Y,Y,2002
高雄市,施明德,01,M,1941,無黨籍及未經政黨推薦,8750,1.13%,N,N,2002
高雄市,張博雅,02,F,1942,無黨籍及未經政黨推薦,13479,1.75%,N,N,2002
高雄市,黃天生,03,M,1946,無黨籍及未經政黨推薦,1998,0.26%,N,N,2002
高雄市,黃俊英,04,M,1942,中國國民黨,361546,46.82%,N,N,2002
高雄市,謝長廷,05,M,1946,民主進步黨,386384,50.04%,Y,Y,2002
臺北市,李敖,01,M,1937,無黨籍及未經政黨推薦,7795,0.61%,N,N,2006
臺北市,周玉蔻,02,F,1953,台灣團結聯盟,3372,0.26%,N,N,2006
臺北市,謝長廷,03,M,1946,民主進步黨,525869,40.89%,N,N,2006
臺北市,宋楚瑜,04,M,1942,無黨籍及未經政黨推薦,53281,4.14%,N,N,2006
臺北市,郝龍斌,05,M,1952,中國國民黨,692085,53.81%,Y,N,2006
臺北市,柯賜海,06,M,1956,無黨籍及未經政黨推薦,3687,0.29%,N,N,2006
高雄市,黃俊英,01,M,1941,中國國民黨,378303,49.27%,N,N,2006
高雄市,林志昇,02,M,1950,保護台灣大聯盟,1746,0.23%,N,N,2006
高雄市,羅志明,03,M,1957,台灣團結聯盟,6599,0.86%,N,N,2006
高雄市,林景元,04,M,1925,無黨籍及未經政黨推薦,1803,0.23%,N,N,2006
高雄市,陳菊,05,F,1950,民主進步黨,379417,49.41%,Y,N,2006
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,2010
臺北市,郝龍斌,02,M,1952,中國國民黨,797865,55.65%,Y,Y,2010
臺北市,蕭淑華,03,F,1961,無黨籍及未經政黨推薦,2238,0.16%,N,N,2010
臺北市,吳武明,04,M,1957,無黨籍及未經政黨推薦,3672,0.26%,N,N,2010
臺北市,蘇貞昌,05,M,1947,民主進步黨,628129,43.81%,N,N,2010
高雄市,楊秋興,01,M,1956,無黨籍及未經政黨推薦,414950,26.68%,N,N,2010
高雄市,黃昭順,02,F,1953,中國國民黨,319171,20.52%,N,N,2010
高雄市,陳菊,03,F,1950,民主進步黨,821089,52.8%,Y,N,2010
新北市,朱立倫,01,M,1961,中國國民黨,1115536,52.61%,Y,N,2010
新北市,蔡英文,02,F,1956,民主進步黨,1004900,47.39%,N,N,2010
臺中市,蘇嘉全,01,M,1956,民主進步黨,698358,48.88%,N,N,2010
臺中市,胡志強,02,M,1948,中國國民黨,730284,51.12%,Y,N,2010
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,2010
臺南市,賴清德,02,M,1959,民主進步黨,619897,60.41%,Y,N,2010
臺北縣,謝深山,01,M,1939,中國國民黨,543516,38.67%,N,N,1997
臺北縣,周荃,02,F,1956,無黨籍及未經政黨推薦,32373,2.3%,N,N,1997
臺北縣,楊泰順,03,M,1953,新黨,32902,2.34%,N,N,1997
臺北縣,林志嘉,04,M,1957,無黨籍及未經政黨推薦,154590,11%,N,N,1997
臺北縣,蘇貞昌,05,M,1947,民主進步黨,571658,40.67%,Y,N,1997
臺北縣,廖學廣,06,M,1954,無黨籍及未經政黨推薦,70619,5.02%,N,N,1997
